t,mRNA_R,A,R,PrmA,PrmR,C,PrmA_bound,PrmR_bound,mRNA_A_
1.90000000000000000E+01,2.09646252462551913E-04,7.91494985802003947E-04,1.11564255510092927E-01,3.92696817586744992E-04,3.94547860017963774E-04,1.05111272250288823E-01,3.72761571747893344E-06,1.87657328625929715E-06,2.14635863874869685E-03
1.95000000000000000E+01,2.08953371797330990E-04,8.82618714581156561E-04,1.00815578789881732E-01,3.92272422396490331E-04,3.94333022720355511E-04,1.05771340922742943E-01,4.15201090773360516E-06,2.09141058386765434E-06,2.16500073930441655E-03
2.00000000000000000E+01,2.13488639966143867E-04,9.86104543242328742E-04,9.10141975819373922E-02,3.91791637142453980E-04,3.94089342937162853E-04,1.06515764305258803E-01,4.63279616176988845E-06,2.33509036706036019E-06,2.18610432943030196E-03
2.05000000000000000E+01,2.22790628656981262E-04,1.10419019864146711E-03,8.20698826337932369E-02,3.91244567756984069E-04,3.93811681401665874E-04,1.07357044847930364E-01,5.17986554723986683E-06,2.61275190255733880E-06,2.21009544221187045E-03
2.10000000000000000E+01,2.36629310006920742E-04,1.23975522655756670E-03,7.38972125541524916E-02,3.90618555482703366E-04,3.93493442470168871E-04,1.08310790493870726E-01,5.80587782152063270E-06,2.93099083405432231E-06,2.23751591353063290E-03
2.15000000000000000E+01,2.54993594061154452E-04,1.39660014778791018E-03,6.64146735701704044E-02,3.89897004075481161E-04,3.93125952225621678E-04,1.09396724886323085E-01,6.52742922874287426E-06,3.29848107860148447E-06,2.26907319296880145E-03
2.20000000000000000E+01,2.78101057245256603E-04,1.57993138147960715E-03,5.95433171560474858E-02,3.89057344841104889E-04,3.92697371410431718E-04,1.10640290482785855E-01,7.36708846311915924E-06,3.72706189379132487E-06,2.30572157682287088E-03
2.25000000000000000E+01,3.06435581321005523E-04,1.79716968305999565E-03,5.32046024760302882E-02,3.88067623090156046E-04,3.92190883538470140E-04,1.12075229545582883E-01,8.35681021406802116E-06,4.23354976575298116E-06,2.34880183799546878E-03
2.30000000000000000E+01,3.40834399428649427E-04,2.05950902835674247E-03,4.73169265933368263E-02,3.86880093040947812E-04,3.91581244651862737E-04,1.13747939069794274E-01,9.54434026327623638E-06,4.84318865236044342E-06,2.40029583520664624E-03
2.35000000000000000E+01,3.82666387635114747E-04,2.38503211927663158E-03,4.17894917108192418E-02,3.85418352960420658E-04,3.90827875242997060E-04,1.15725270066462133E-01,1.10060803438034005E-05,5.59655806122611389E-06,2.46333186942058113E-03
2.40000000000000000E+01,4.34207733094646008E-04,2.80575700687446528E-03,3.65105269287930440E-02,3.83548797077998813E-04,3.89859386298728081E-04,1.18109489699557146E-01,1.28756362262252590E-05,6.56504700549501704E-06,2.54328482396358945E-03
2.45000000000000000E+01,4.99506351175027789E-04,3.38589103788493849E-03,3.13224548794946017E-02,3.81007901041560909E-04,3.88533852980363467E-04,1.21069470061418535E-01,1.54165322626631091E-05,7.89058032385973948E-06,2.65051033930384849E-03
2.50000000000000000E+01,5.86693729748542195E-04,4.27920270830156862E-03,2.59636360807896788E-02,3.77179964022911522E-04,3.86515764433329227E-04,1.24912830428631771E-01,1.92444692813125103E-05,9.90866887089395142E-06,2.80841791650545758E-03
2.55000000000000000E+01,7.15742310733489184E-04,5.96837307052558701E-03,1.99219447079358840E-02,3.70213792360689418E-04,3.82775756025956974E-04,1.30266782467926528E-01,2.62106409435345322E-05,1.36486772782663040E-05,3.08408689420175365E-03
2.60000000000000000E+01,9.55519716419272699E-04,1.07993860048788640E-02,1.21918249429611627E-02,3.51946277439264658E-04,3.72567342676433262E-04,1.38422115512175592E-01,4.44781558649592077E-05,2.38570906277899597E-05,3.75404096861131284E-03
2.65000000000000000E+01,1.67932197168060198E-03,3.68134596043517837E-02,3.79603305852895890E-03,2.78181497678142904E-04,3.25935963777550784E-04,1.49139202505610385E-01,1.18242935626080813E-04,7.04884695266725535E-05,6.35421799058344741E-03
2.70000000000000000E+01,4.11488327225706385E-03,1.40136171643553520E-01,1.07043312357097634E-03,1.48919080621817072E-04,2.16084335531001271E-04,1.58442265284657602E-01,2.47505352682406523E-04,1.80340097773221971E-04,1.21040344318257033E-02
2.75000000000000000E+01,8.10811257853242574E-03,2.85704208504909685E-01,6.23940026797842068E-04,8.95608346372553762E-05,1.46037807701661777E-04,1.73936072228180055E-01,3.06863598666968422E-04,2.50386625602561520E-04,1.54128509008186875E-02
2.80000000000000000E+01,1.22349424975606285E-02,3.96998838498725581E-01,5.44896734860655734E-04,6.86526585840533467E-05,1.17018382266585109E-04,1.99453120724203875E-01,3.27771774720170207E-04,2.79406051037638201E-04,1.65938136428524508E-02
2.85000000000000000E+01,1.58643232923826490E-02,4.58982122730620501E-01,5.67520770634626385E-04,6.07531009104076265E-05,1.05354063499090678E-04,2.34628594522488299E-01,3.35671332393815873E-04,2.91070369805132795E-04,1.70360006445982766E-02
2.90000000000000000E+01,1.88444632407175801E-02,4.79691114737370583E-01,6.43719615305144246E-04,5.84933052975672601E-05,1.01943995606250217E-04,2.78015903437912104E-01,3.37931128006656084E-04,2.94480437697973310E-04,1.71791252924829684E-02
2.95000000000000000E+01,2.11797475808217436E-02,4.69561370672798573E-01,7.66388793959292959E-04,5.95486643961025872E-05,1.03546434314770767E-04,3.27983409075974175E-01,3.36875768908120594E-04,2.92877998989452882E-04,1.71584604805949184E-02
3.00000000000000000E+01,2.29166380083000235E-02,4.37012698771192476E-01,9.44108295705445625E-04,6.32589615807525060E-05,1.09113824501967782E-04,3.82960578935553408E-01,3.33165471723470736E-04,2.87310608802255881E-04,1.70150677217537696E-02
3.05000000000000000E+01,2.41005047209945956E-02,3.87985965061480753E-01,1.20077329677616964E-03,6.98208020355555424E-05,1.18742650049936144E-04,4.41480594344600519E-01,3.26603631268667564E-04,2.77681783254287600E-04,1.67471847773901471E-02
3.10000000000000000E+01,2.47526811960511739E-02,3.26185169386939922E-01,1.58985309785447085E-03,8.03252994662457203E-05,1.33608160419116425E-04,5.02131081937183144E-01,3.16099133837977400E-04,2.62816272885107278E-04,1.63149129927054951E-02
