time,T,E,I
0.0,1.0,1.0,1.0
0.2,1.0366552001186906,0.998078714833685,0.13537701325811427
0.4,1.07465400421967,0.9963177703390687,0.018366112381781194
0.6000000000000001,1.114045663268325,0.9947216635002079,0.0025318271719701564
0.8,1.1548812326068865,0.993295064287403,0.00039049325288658006
1.0,1.1972136390092614,0.992042822057958,0.00010238031957912075
1.2000000000000002,1.2410977492773336,0.9909699720824952,6.514437211160204e-05
1.4000000000000001,1.2865904413515485,0.9900817423107777,6.193326160944647e-05
1.6,1.3337506780279265,0.9893835603858254,6.34024570797024e-05
1.8,1.3826395833770406,0.9888810609154138,6.558433401216407e-05
2.0,1.4333205219641223,0.9885800930104082,6.794606041976801e-05
2.2,1.4858591809760653,0.9884867281000043,7.041989013628256e-05
2.4000000000000004,1.5403236554173836,0.9886072680393055,7.300062955910847e-05
2.6,1.5967845382730075,0.9889482536898767,7.569274627635132e-05
2.8000000000000003,1.6553150077175787,0.9895164732194897,7.850220248233945e-05
3.0,1.7159909237791853,0.9903189713019372,8.143484542632806e-05
3.2,1.7788909259937136,0.9913630584114093,8.449713463782379e-05
3.4000000000000004,1.8440965402707734,0.9926563209939154,8.769613864141593e-05
3.6,1.9116922773611915,0.9942066308396512,9.103927738334694e-05
3.8000000000000003,1.9817657739072647,0.9960221585088773,9.45344207673664e-05
4.0,2.0544078568605855,0.9981113794637675,9.818992384610333e-05
4.2,2.1297126592022773,1.0004830850836952,0.0001020146853626663
4.4,2.2077777747835228,1.0031463974046149,0.00010601819368627878
4.6000000000000005,2.288704391526292,1.006110781799111,0.00011021054690421198
4.800000000000001,2.372597374669917,1.0093860549012856,0.00011460248548004477
5.0,2.459565457483737,1.0129824027619145,0.00011920544832161312
5.2,2.5497213651900807,1.0169103926463985,0.00012403162275010477
5.4,2.6431819593659296,1.0211809867822448,0.00012909400309652183
5.6000000000000005,2.740068375623326,1.0258055554668977,0.00013440643878568566
5.800000000000001,2.840506242459099,1.0307958979036385,0.00013998371156439412
6.0,2.9446258428668015,1.036164257588297,0.00014584159056591173
6.2,3.0525619770106633,1.041923309235403,0.00015199680435649805
6.4,3.1644548789477898,1.0480862460580032,0.00015846740890386107
6.6000000000000005,3.2804489590946977,1.054666660040065,0.0001652722876623141
6.800000000000001,3.400695095605187,1.0616787600985722,0.00017243211636339185
7.0,3.525348526874212,1.06913717142831,0.00017996847899450562
7.2,3.654571087219533,1.0770571483676248,0.00018790483901122234
7.4,3.788530130103393,1.0854544718730963,0.0001962660742035967
7.6000000000000005,3.927399283768563,1.0943455214727007,0.0002050787857810042
7.800000000000001,4.071358626232754,1.1037472919269524,0.00021437138550312542
8.0,4.2205947821293135,1.11367740245037,0.00022417422688180373
8.200000000000001,4.375301193182242,1.1241541224735192,0.00023451980328309156
8.4,4.535678385162147,1.1351963970539016,0.00024544274092085165
8.6,4.701934270742821,1.1468238757277558,0.0002569802946680438
8.8,4.8742842167289115,1.159056918901663,0.00026917208404372253
9.0,5.052951715794639,1.171916661829902,0.00028206071729796776
9.200000000000001,5.238168201073648,1.1854249969513093,0.0002956915992153262
9.4,5.430173762243005,1.1996046420883104,0.0003101134385943626
9.600000000000001,5.629217242775317,1.214479149704842,0.0003253782936531213
9.8,5.835556584938166,1.2300729397638133,0.000341541886157512
10.0,6.049459267531325,1.2464113414171316,0.0003586639609929149
10.200000000000001,6.271202464563489,1.2635206081119128,0.0003768083058688546
10.4,6.501073645344115,1.2814279747513362,0.000396043504259136
10.600000000000001,6.739370638955345,1.3001616638231244,0.0004164426755403792
10.8,6.986402402994593,1.3197509586275167,0.00043808451503348395
11.0,7.242488981468924,1.3402261992543505,0.0004610529335206805
11.200000000000001,7.507962356633731,1.36161886372501,0.0004854381676688147
11.4,7.783166535245511,1.3839615761992932,0.0005113366523398355
11.600000000000001,8.068458184289648,1.4072881675293436,0.0005388518219731267
11.8,8.364207091054237,1.4316337190791606,0.000568094591494503
12.0,8.670796469924772,1.457034591942068,0.00059918359374687
12.200000000000001,8.988623774708962,1.4835285043204651,0.0006322463776003153
12.4,9.3181007784353,1.5111545391152166,0.0006674191259412466
12.600000000000001,9.659654640240843,1.539953245561096,0.0007048484880797096
12.8,10.013727849775318,1.56996663391457,0.0007446909234459641
13.0,10.380779444269278,1.6012382913996932,0.0007871149740042856
13.200000000000001,10.76128499635243,1.6338133810314395,0.0008323006329551783
13.4,11.155737683458167,1.6677387434933795,0.0008804413574159323
13.600000000000001,11.564648725166021,1.70306293879146,0.0009317444949465128
13.8,11.988547983733163,1.7398363034575197,0.0009864321678683297
14.0,12.427984945389069,1.778111044033037,0.001044743147039546
14.200000000000001,12.883528936438301,1.8179412576417426,0.0011069326570677007
14.4,13.355770526106227,1.8593830656440264,0.0011732755723246843
14.600000000000001,13.845321486335536,1.9024946097840036,0.001244065336685057
14.8,14.35281650118675,1.9473362150597548,0.0013196183628925386
15.0,14.878913035155858,1.9939703771497925,0.0014002724204755037
15.200000000000001,15.424293005374,2.0424619217418147,0.0014863909581616873
15.4,15.989663142319273,2.092878038880389,0.0015783631607699067
15.600000000000001,16.57575607221572,2.1452883860920067,0.0016766067470116834
15.8,17.183331447323088,2.199765196073222,0.0017815707275877822
16.0,17.813176432014004,2.2563833229842656,0.001893735293584575
16.2,18.46610749366272,2.3152204130984133,0.0020136170704918572
16.400000000000002,19.14297045810974,2.376356910052653,0.0021417682479965322
16.6,19.844642796314606,2.439876272754821,0.0022787844941810982
16.8,20.572033460939764,2.5058649597654803,0.0024253015185580437
