time,Cdh1,Trim,Clb,Sic,PTrim,PClb,SBF,IE,Cdc20a,Cdc20,Swe1,Swe1M,PSwe1,PSwe1M,Mih1a,Mcm,BE,Cln,mass
20.0,11.992636560000001,0.08441067499999999,-0.81546327,0.0035491783999999083,1.402314e-05,3.0203049e-05,0.12405464,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,0.80809075,0.93289256,0.00024296179,0.053600963,0.80224854
21.0,14.992636560000001,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,0.12405464,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
22.0,15.992636560000001,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,0.12405464,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
23.0,14.992636560000001,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,0.12405464,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
24.0,15.992636560000001,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,0.12405464,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
25.0,16.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,0.12405464,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
26.0,17.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,0.12405464,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
27.0,17.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-0.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
28.0,18.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-0.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
29.0,19.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-0.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
30.0,19.99263656,0.08441067499999999,-0.81546327,0.0035491783999999083,1.402314e-05,3.0203049e-05,-0.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
31.0,19.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-0.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
32.0,20.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-0.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
33.0,21.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-0.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
34.0,21.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
35.0,22.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
36.0,23.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
37.0,24.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
38.0,24.99263656,-0.915589325,0.18453673000000004,1.0035491784,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
39.0,24.99263656,0.08441067499999999,-0.81546327,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
40.0,24.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
41.0,25.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
42.0,26.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
43.0,27.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
44.0,27.99263656,-0.915589325,0.18453673000000004,1.0035491784,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
45.0,28.99263656,-0.915589325,0.18453673000000004,1.0035491784,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
46.0,28.99263656,0.08441067499999999,-0.81546327,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
47.0,29.99263656,0.08441067499999999,-0.81546327,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
48.0,29.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
49.0,30.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
50.0,31.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
51.0,32.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
52.0,33.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
53.0,34.99263656,0.08441067499999999,0.18453673000000004,0.0035491783999999083,1.402314e-05,3.0203049e-05,-1.87594536,0.52220768,2.4384692,0.1722378,0.00031588585,0.018360127,0.00020500785,0.013336782,-0.19190925000000003,0.93289256,0.00024296179,0.053600963,0.80224854
