t,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
1.70000000000000000E+02,1.81952802592587940E-08,1.17590683657757145E-02,3.06740478195946125E-06,3.79799570194853109E-02,3.16442007336353046E-07,3.94247418262963240E-03,1.47348197148004691E-07,2.00012793897153375E-03,1.88382619199624933E-09,2.31975640276780706E-12,1.58206712289721010E-05,6.51295890839936780E-10,2.30017456622936895E-08,1.35242975582848403E-05,9.35248162074385719E-06,3.33130076756161311E-08,6.56004715583882528E-14,2.13717307239820236E-08,1.02406169972786200E-07,2.86841660327193885E-04,3.03783397125673323E-03,2.12164803891930955E-07
1.87000000000000000E+02,1.72251554675071299E-08,1.17590677493389969E-02,2.90556503721703894E-06,3.79799587270569922E-02,2.99739130387641958E-07,3.94247026501891393E-03,1.39355461614636168E-07,2.00012686466749957E-03,1.78346544511628766E-09,2.19616199813806142E-12,1.58207325756855598E-05,6.16600128408101334E-10,2.30017456622936895E-08,1.35243253878626803E-05,9.35252750772941710E-06,3.33129127697051790E-08,5.87968143330847714E-14,2.01978197762040342E-08,1.10734273007399880E-07,2.86841657598616321E-04,3.03783407023768513E-03,2.00859143078600080E-07
2.04000000000000000E+02,1.63094951083445828E-08,1.17590671686271762E-02,2.75188813219236754E-06,3.79799602760871810E-02,2.83882419303759208E-07,3.94246653700087730E-03,1.31888000660730905E-07,2.00012590032065847E-03,1.68869733976049534E-09,2.07945535924511038E-12,1.58207904835815268E-05,5.83837489149809610E-10,2.30017456622936895E-08,1.35243516904820206E-05,9.35257083401204048E-06,3.33128232252830982E-08,5.27141475835411443E-14,1.91080832558135666E-08,1.18609419814699342E-07,2.86841655538565461E-04,3.03783416744607838E-03,1.90184723375775241E-07
2.21000000000000000E+02,1.54437554044306513E-08,1.17590666202060483E-02,2.60616778103649319E-06,3.79799617091236622E-02,2.68848381668705862E-07,3.94246299806220828E-03,1.24860938499574774E-07,2.00012501438891731E-03,1.59907671299798921E-09,1.96908850446732661E-12,1.58208452328518297E-05,5.52854182710272288E-10,2.30017456622936895E-08,1.35243765800123292E-05,9.35261180456763074E-06,3.33127385923690352E-08,4.72673598412466769E-14,1.80863263939371388E-08,1.26061769223478357E-07,2.86841654041339886E-04,3.03783426182614247E-03,1.80090678572016031E-07
2.38000000000000000E+02,1.46245380633647400E-08,1.17590661016142867E-02,2.46808543924091220E-06,3.79799630511788444E-02,2.54603147753696108E-07,3.94245964291493108E-03,1.18226053922986864E-07,2.00012418927252456E-03,1.51426317699810903E-09,1.86464227843887023E-12,1.58208970369335551E-05,5.23532593507863297E-10,2.30017456622936895E-08,1.35244001444921288E-05,9.35265057599238656E-06,3.33126585298154081E-08,4.23862226453577238E-14,1.71234725507717047E-08,1.33116593620599672E-07,2.86841652951032517E-04,3.03783435271376108E-03,1.70538339342097338E-07
2.55000000000000000E+02,1.38490453634133185E-08,1.17590656109136053E-02,2.33728489870298029E-06,3.79799643170342094E-02,2.41109510338744876E-07,3.94245646417468263E-03,1.11951726452361751E-07,2.00012341492667367E-03,1.43397227264440289E-09,1.76576631827161794E-12,1.58209460729437724E-05,4.95774418376603845E-10,2.30017456622936895E-08,1.35244224589966279E-05,9.35268727893354387E-06,3.33125827570350888E-08,3.80104310949889173E-14,1.62138708406844059E-08,1.39796205807737361E-07,2.86841652138946550E-04,3.03783443978882049E-03,1.61495515043345501E-07
2.72000000000000000E+02,1.31147917105357648E-08,1.17590651464404769E-02,2.21339998613638078E-06,3.79799655158846797E-02,2.28329481385177437E-07,3.94245345357573367E-03,1.06013887567582616E-07,2.00012268519900649E-03,1.35794905213341890E-09,1.67214657484491589E-12,1.58209924985692556E-05,4.69491545000080190E-10,2.30017456622936895E-08,1.35244435920334987E-05,9.35272203028884577E-06,3.33125110262713173E-08,3.40869042946317654E-14,1.53534973569096654E-08,1.46121208192003763E-07,2.86841651514823780E-04,3.03783452295607048E-03,1.52933419645472294E-07
2.89000000000000000E+02,1.24195208560543814E-08,1.17590647067189070E-02,2.09607394578772790E-06,3.79799666537612921E-02,2.16226160177341506E-07,3.94245060273365130E-03,1.00392567946148794E-07,2.00012199603766521E-03,1.28596100535617343E-09,1.58349662429371230E-12,1.58210364569733483E-05,4.44603611549284935E-10,2.30017456622936895E-08,1.35244636068620620E-05,9.35275493655490617E-06,3.33124431139078324E-08,3.05686011194396267E-14,1.45392005030139068E-08,1.52110677210653756E-07,2.86841651021257004E-04,3.03783460225281847E-03,1.44825832100228431E-07
3.06000000000000000E+02,1.17611339783715662E-08,1.17590642903941060E-02,1.98496358068757272E-06,3.79799677350296724E-02,2.04764096370040978E-07,3.94244790341940349E-03,9.50700300430939856E-08,2.00012134445824328E-03,1.21779134067308675E-09,1.49954940363831501E-12,1.58210780812600650E-05,4.21035686327983244E-10,2.30017456622936895E-08,1.35244825629153317E-05,9.35278609695989502E-06,3.33123788128071935E-08,2.74135399619016251E-14,1.37682862228508593E-08,1.57782530114236442E-07,2.86841650622625410E-04,3.03783467778531236E-03,1.37148318698516143E-07
3.23000000000000000E+02,1.11376609814979463E-08,1.17590638962039792E-02,1.87974145157015492E-06,3.79799687631364943E-02,1.93909489041164047E-07,3.94244534769988466E-03,9.00300028185491352E-08,2.00012072805557132E-03,1.15323632674370594E-09,1.42005394096236624E-12,1.58211174963033970E-05,3.98717350041236688E-10,2.30017456622936895E-08,1.35245005162955726E-05,9.35281560471591554E-06,3.33123179290674522E-08,2.45841619933800050E-14,1.30383383338203176E-08,1.63153664545303696E-07,2.86841650296892751E-04,3.03783474969308853E-03,1.29877924661925817E-07
3.40000000000000000E+02,1.05472443215678479E-08,1.17590635229634956E-02,1.78009637668525060E-06,3.79799697410016929E-02,1.83630225489062271E-07,3.94244292799531340E-03,8.52573152066136745E-08,2.00012014475835003E-03,1.09210376144929714E-09,1.34477347095067011E-12,1.58211548197958585E-05,3.77582167149599304E-10,2.30017456622936895E-08,1.35245175200655636E-05,9.35284354773940571E-06,3.33122602801718349E-08,2.20468242731796904E-14,1.23471314665765665E-08,1.68240049130401379E-07,2.86841650030096563E-04,3.03783481812931267E-03,1.22992997552155457E-07
3.57000000000000000E+02,9.98812853866307474E-09,1.17590631695553283E-02,1.68573314944017198E-06,3.79799706712237034E-02,1.73895846220357244E-07,3.94244063709551108E-03,8.07377064404046533E-08,2.00011959270534820E-03,1.03421195400098276E-09,1.27348418127205976E-12,1.58211901629300463E-05,3.57567334369012882E-10,2.30017456622936895E-08,1.35245336244593340E-05,9.35287000912702170E-06,3.33122056938115262E-08,1.97713727578893422E-14,1.16925870588253744E-08,1.73056791501162047E-07,2.86841649812937536E-04,3.03783488325036445E-03,1.16473070705331299E-07
3.74000000000000000E+02,9.45865292622493486E-09,1.17590628349238027E-02,1.59637197787701851E-06,3.79799715561855641E-02,1.64677484428580640E-07,3.94243846815780109E-03,7.64577201381874818E-08,2.00011907018297864E-03,9.79388996120647167E-10,1.20597431448466541E-12,1.58212236308786330E-05,3.38613428973395716E-10,2.30017456622936895E-08,1.35245488770460693E-05,9.35289506749562169E-06,3.33121540070774138E-08,1.77307729368190007E-14,1.10727501365915544E-08,1.77618191434100336E-07,2.86841649638803012E-04,3.03783494521056140E-03,1.10298780253193748E-07
3.91000000000000000E+02,8.95724558744081181E-09,1.17590625180704032E-02,1.51174779366955361E-06,3.79799723981111281E-02,1.55947793452526113E-07,3.94243641469587541E-03,7.24046352024809413E-08,2.00011857559240832E-03,9.27472160696447311E-10,1.14204342677134731E-12,1.58212553231766871E-05,3.20664201097250121E-10,2.30017456622936895E-08,1.35245633228774209E-05,9.35291879725946076E-06,3.33121050658348793E-08,1.59007836684862672E-14,1.04857755436119017E-08,1.81937787470089885E-07,2.86841649502644783E-04,3.03783500415958935E-03,1.04451796967044058E-07
4.08000000000000000E+02,8.48241830851683236E-09,1.17590622180502018E-02,1.43160953008010945E-06,3.79799731990956083E-02,1.47680871701243535E-07,3.94243447056494018E-03,6.85664148916862872E-08,2.00011810743137061E-03,8.78307377543448066E-10,1.08150174160687740E-12,1.58212853340524025E-05,3.03666392654524840E-10,2.30017456622936895E-08,1.35245770046221636E-05,9.35294126887201708E-06,3.33120587241933302E-08,1.42596670740191443E-14,9.92991879070752827E-09,1.86028398990198659E-07,2.86841649400359361E-04,3.03783506024136660E-03,9.89147670029566987E-08
4.25000000000000000E+02,8.03276193017888732E-09,1.17590619339687126E-02,1.35571940659717547E-06,3.79799739611231327E-02,1.39852188576012309E-07,3.94243262994551421E-03,6.49316651110496237E-08,2.00011766428319490E-03,8.31748757315907381E-10,1.02416956275797455E-12,1.58213137527215234E-05,2.87569572878502782E-10,2.30017456622936895E-08,1.35245899626929101E-05,9.35296254904402163E-06,3.33120148440411792E-08,1.27879293958883785E-14,9.40352918189168116E-09,1.89902165134143435E-07,2.86841649328447863E-04,3.03783511359362280E-03,9.36712581711676520E-08
4.42000000000000000E+02,7.60694206854806819E-09,1.17590616649790921E-02,1.28385223698430995E-06,3.79799746860776527E-02,1.32438512949976556E-07,3.94243088732707751E-03,6.14895978713349551E-08,2.00011724480944489E-03,7.87658150004605821E-10,9.69876729930042122E-13,1.58213406636608308E-05,2.72325985800051965E-10,2.30017456622936895E-08,1.35246022353652311E-05,9.35298270094613114E-06,3.33119732946167422E-08,1.14680890471737614E-14,8.90504413273569441E-09,1.93570581227132569E-07,2.86841649283829745E-04,3.03783516434784351E-03,8.87057101484870004E-08
4.59000000000000000E+02,7.20369511062500752E-09,1.17590614102795372E-02,1.21579476733834545E-06,3.79799753757504716E-02,1.25417844810085511E-07,3.94242923749207885E-03,5.82299980288374471E-08,2.00011684774440692E-03,7.45904731125526624E-10,9.18462108576720436E-13,1.58213661468639300E-05,2.57890407285022926E-10,2.30017456622936895E-08,1.35246138588903902E-05,9.35300178439892772E-06,3.33119339521087567E-08,1.02844687932125933E-14,8.43298417215556044E-09,1.97044533077970099E-07,2.86841649263738666E-04,3.03783521262939674E-03,8.40033878327721968E-08
